revision,unique_types,entropy
4279,1,0.0
4281,5,0.509
4282,1,0.0
4289,0,0.0
4291,2,0.235
4295,1,0.0
4296,1,0.0
4300,1,0.0
4302,7,0.649
4303,3,0.341
4304,4,0.463
4305,7,0.595
4306,8,0.711
4312,5,0.562
4313,7,0.37
4314,1,0.0
4315,1,0.0
4318,1,0.0
4329,9,0.763
4334,4,0.448
4335,0,0.0
4336,4,0.187
4337,3,0.384
4341,7,0.511
4342,10,0.451
4345,5,0.407
4347,5,0.562
4349,0,0.0
4353,7,0.574
4355,1,0.0
4357,2,0.256
4359,5,0.522
4363,4,0.491
4366,4,0.472
4367,8,0.634
4368,3,0.39
4372,1,0.0
4375,4,0.37
4380,2,0.086
4381,3,0.32
4389,3,0.32
4407,1,0.0
4414,4,0.429
4415,8,0.611
4422,6,0.484
4427,7,0.676
4428,0,0.0
4429,2,0.208
4430,1,0.0
4431,9,0.694
4432,2,0.256
4433,1,0.0
4434,4,0.451
4435,1,0.0
4444,5,0.394
4445,5,0.572
4448,2,0.129
4451,3,0.406
4452,11,0.79
4458,3,0.384
4461,4,0.469
4468,2,0.098
4469,2,0.185
4470,1,0.0
4471,1,0.0
4473,2,0.235
4475,2,0.249
4482,1,0.0
4484,3,0.353
4486,2,0.159
4487,6,0.591
4488,5,0.44
4489,2,0.235
4504,2,0.256
4511,6,0.484
4516,7,0.552
4521,5,0.523
4527,2,0.256
4529,11,0.578
4556,1,0.0
4557,2,0.256
4568,3,0.32
4569,3,0.39
4572,4,0.47
4575,4,0.45
4576,2,0.256
4577,6,0.603
4578,4,0.512
4580,2,0.185
4581,1,0.0
4616,3,0.373
4619,0,0.0
4621,1,0.0
4623,8,0.752
4624,1,0.0
4625,7,0.646
4626,2,0.249
4628,3,0.351
4630,2,0.208
4633,1,0.0
4637,5,0.44
4639,2,0.256
4648,1,0.0
4660,1,0.0
4665,2,0.249
4667,3,0.351
4668,2,0.235
4669,2,0.256
4670,5,0.581
4672,8,0.714
4676,3,0.353
4678,7,0.668
4684,2,0.256
4685,3,0.354
4687,2,0.256
4688,4,0.484
4691,3,0.384
4696,9,0.617
4700,1,0.0
4701,3,0.294
4709,8,0.559
4717,2,0.256
4718,10,0.625
4722,3,0.384
4725,2,0.235
4726,2,0.235
4727,4,0.499
4728,6,0.392
4729,0,0.0
4730,6,0.429
4731,6,0.51
4737,3,0.351
4738,2,0.256
4739,1,0.0
4741,6,0.536
4748,3,0.367
4750,1,0.0
4751,3,0.367
4753,6,0.558
4756,4,0.512
4765,4,0.327
4767,6,0.558
4768,3,0.406
4780,2,0.235
4782,3,0.236
4791,4,0.209
4794,1,0.0
4800,2,0.235
4801,2,0.185
4817,3,0.232
4818,5,0.428
4825,2,0.235
4831,10,0.609
4836,1,0.0
4838,7,0.685
4843,1,0.0
4846,5,0.543
4847,2,0.256
4848,4,0.381
4849,6,0.544
4850,0,0.0
4852,2,0.185
4855,3,0.313
4856,1,0.0
4862,2,0.256
4864,3,0.39
4867,3,0.384
4870,2,0.235
4875,4,0.431
4876,4,0.491
4881,6,0.472
4884,7,0.693
4886,7,0.548
4887,1,0.0
4888,1,0.0
4889,2,0.235
4890,0,0.0
5139,0,0.0
5141,3,0.39
5143,2,0.235
5145,7,0.688
5147,6,0.501
5160,1,0.0
