file,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
1063,0,1,4,0,0,9,0,1,0,0,0,3,0,0,0,2
1064,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1065,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1070,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1074,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0
1077,0,0,10,0,0,0,0,2,0,0,0,1,0,0,0,0
1079,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1085,1,1,0,0,0,1,0,0,0,0,0,2,1,1,0,3
1086,1,1,0,0,0,1,0,0,0,0,0,2,1,1,0,3
1088,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,0,6,0,0,0,3,0,0,0,0,0,1,3,3,1,4
1098,7,5,63,3,5,21,32,9,0,0,4,10,0,1,0,6
1099,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1106,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1110,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1123,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1130,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1156,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,9,59,49,2,1,22,12,14,0,0,1,7,4,0,0,2
1205,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1239,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1246,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1259,2,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0
1262,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1265,0,3,0,0,0,6,1,5,0,0,0,6,0,0,0,1
1267,0,3,0,0,0,6,1,5,0,0,0,6,0,0,0,1
1268,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1272,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1285,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0
1286,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3
1290,0,0,22,0,0,4,0,0,0,0,0,0,0,0,0,0
1296,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1303,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,2,8,25,0,4,0,4,2,0,0,0,7,0,0,0,1
1308,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0
1310,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0
1325,0,0,5,0,0,2,0,0,0,0,3,1,1,0,1,3
1330,0,3,1,0,0,6,1,6,0,0,0,6,0,0,0,1
1332,0,3,1,0,0,6,1,6,0,0,0,6,0,0,0,1
1333,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0
1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1351,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1356,0,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0
1360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,0,3,13,0,0,0,0,5,0,0,0,2,0,0,0,0
1367,4,15,728,2,1,297,11,9,0,0,0,41,0,0,0,6
1369,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1378,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1381,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1387,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0
1388,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0
1395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1397,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1409,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1417,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1419,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1422,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1425,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2
1428,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1432,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,2
1434,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
