revision,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
1321,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2
1324,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
1328,1,4,14,0,0,2,14,1,0,0,0,6,0,0,2,1
1331,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1337,3,4,108,0,3,5,15,4,0,0,0,12,0,0,0,2
1344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1345,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,4
1347,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0,2
1349,1,2,17,2,1,2,4,10,0,0,0,6,0,0,0,1
1353,0,3,1,0,0,6,1,6,0,0,0,6,0,0,0,1
1355,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0
1361,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0
1363,0,2,32,0,0,1,2,3,0,0,0,1,0,0,0,2
1364,0,0,5,0,0,0,2,2,0,0,0,1,0,0,0,0
1370,0,1,0,0,0,1,0,4,0,0,0,4,0,0,0,1
1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1373,4,15,730,2,1,297,11,9,0,0,0,41,0,0,0,6
1376,0,1,3,0,0,1,0,3,0,0,0,0,0,0,0,0
1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1380,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1382,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1384,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1
1385,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1386,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,1,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0
1391,0,6,10,0,0,3,8,4,0,0,1,6,0,0,0,6
1392,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
